                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                 1.0059,                0.52561,                0.98982,                0.66972,                 0.7338,                 0.7203,                0.45079,                 1.1884,                0.53745,                 1.1075,                0.00307,                0.00307,                0.00307
                     72,                 1.0063,                0.52264,                0.99003,                0.67846,                0.72656,                0.71963,                0.45124,                 1.1889,                0.53748,                 1.1083,               0.002971,               0.002971,               0.002971
                     73,                0.99924,                0.51623,                0.98696,                0.68253,                0.72646,                0.72074,                0.45164,                 1.1895,                 0.5381,                 1.1088,               0.002872,               0.002872,               0.002872
                     74,                0.99596,                 0.5139,                0.98676,                0.67495,                0.73793,                0.71971,                0.45019,                 1.1903,                0.53843,                 1.1093,               0.002773,               0.002773,               0.002773
                     75,                0.99365,                0.51165,                0.98697,                0.66985,                 0.7381,                0.71972,                0.45089,                 1.1904,                0.53869,                 1.1097,               0.002674,               0.002674,               0.002674
                     76,                0.98585,                0.50889,                0.98365,                0.67007,                0.74418,                0.71967,                0.45031,                 1.1919,                 0.5387,                 1.1108,               0.002575,               0.002575,               0.002575
                     77,                0.98269,                0.50352,                0.98204,                0.67183,                0.74384,                0.72062,                 0.4506,                 1.1926,                0.53864,                 1.1116,               0.002476,               0.002476,               0.002476
                     78,                0.97843,                0.50151,                0.98004,                0.67584,                0.74441,                 0.7206,                0.44915,                 1.1936,                0.53837,                 1.1125,               0.002377,               0.002377,               0.002377
                     79,                 0.9746,                0.50025,                0.98046,                0.67733,                 0.7454,                0.71953,                0.44969,                 1.1944,                0.53869,                 1.1133,               0.002278,               0.002278,               0.002278
                     80,                0.96895,                0.49854,                0.97439,                0.67325,                0.74144,                0.72003,                0.44946,                 1.1951,                0.53849,                 1.1139,               0.002179,               0.002179,               0.002179
                     81,                0.96438,                 0.4929,                0.97402,                0.66973,                0.74222,                0.71968,                0.43739,                 1.1957,                0.53808,                 1.1144,                0.00208,                0.00208,                0.00208
                     82,                0.96054,                0.48759,                0.97341,                0.66572,                0.74952,                   0.72,                0.43764,                 1.1959,                0.53783,                 1.1149,               0.001981,               0.001981,               0.001981
                     83,                0.95331,                0.48319,                0.97013,                  0.652,                0.75464,                0.71659,                0.43603,                 1.1966,                0.53792,                 1.1154,               0.001882,               0.001882,               0.001882
                     84,                0.94684,                0.47988,                0.96543,                0.64024,                0.75704,                0.71615,                0.43624,                 1.1974,                0.53767,                 1.1159,               0.001783,               0.001783,               0.001783
                     85,                0.94822,                0.48088,                0.96661,                0.63344,                0.75833,                0.71636,                0.43686,                 1.1977,                0.53734,                 1.1165,               0.001684,               0.001684,               0.001684
                     86,                 0.9379,                0.47496,                0.96172,                0.62144,                0.76493,                0.71631,                0.43656,                 1.1984,                0.53754,                 1.1172,               0.001585,               0.001585,               0.001585
                     87,                0.93487,                0.47095,                0.96133,                0.60908,                0.76997,                0.71568,                0.44893,                 1.1987,                0.53707,                 1.1175,               0.001486,               0.001486,               0.001486
                     88,                0.93109,                0.47068,                 0.9571,                0.59929,                0.77559,                0.71808,                0.44938,                  1.199,                0.53702,                 1.1178,               0.001387,               0.001387,               0.001387
                     89,                0.92768,                0.46459,                0.95855,                0.58385,                0.78005,                0.71743,                0.43705,                 1.1998,                0.53668,                 1.1183,               0.001288,               0.001288,               0.001288
                     90,                0.91962,                0.46356,                0.95632,                0.58427,                0.77855,                0.71706,                0.43605,                 1.1999,                0.53669,                 1.1186,               0.001189,               0.001189,               0.001189
                     91,                0.91822,                0.46057,                 0.9549,                0.58658,                0.77768,                0.71749,                0.43667,                 1.2003,                0.53655,                 1.1193,                0.00109,                0.00109,                0.00109
                     92,                0.91421,                0.45761,                0.95353,                0.58504,                0.77653,                0.71749,                0.43652,                 1.2009,                0.53645,                 1.1197,               0.000991,               0.000991,               0.000991
                     93,                 0.9071,                0.45353,                0.95035,                0.58359,                0.77585,                0.71751,                0.43636,                 1.2017,                0.53668,                 1.1204,               0.000892,               0.000892,               0.000892
                     94,                0.90283,                0.45115,                0.94929,                0.58396,                0.77542,                0.71744,                0.43606,                 1.2021,                0.53695,                 1.1207,               0.000793,               0.000793,               0.000793
                     95,                0.90168,                0.44934,                0.94877,                0.58164,                0.77536,                0.71793,                 0.4368,                 1.2026,                0.53686,                 1.1212,               0.000694,               0.000694,               0.000694
                     96,                0.89517,                0.44547,                0.94781,                0.57725,                0.77965,                0.71783,                0.43701,                  1.203,                0.53698,                 1.1215,               0.000595,               0.000595,               0.000595
                     97,                0.89145,                0.44367,                0.94562,                0.57787,                0.77922,                0.71745,                0.43684,                 1.2034,                 0.5371,                 1.1219,               0.000496,               0.000496,               0.000496
                     98,                0.88761,                0.44189,                0.94334,                0.57316,                0.77922,                0.71725,                0.43656,                 1.2039,                0.53723,                 1.1226,               0.000397,               0.000397,               0.000397
                     99,                0.88144,                0.43569,                0.94129,                0.56865,                0.77667,                0.71548,                0.43642,                 1.2046,                0.53748,                 1.1231,               0.000298,               0.000298,               0.000298
