                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                 1.1212,                0.62405,                 1.1053,                0.61402,                0.55682,                 0.5874,                0.38273,                 1.1787,                0.56773,                  1.183,                0.00307,                0.00307,                0.00307
                     72,                 1.1201,                0.61836,                 1.1034,                 0.6202,                0.55154,                0.58772,                0.38336,                 1.1793,                0.56696,                 1.1834,               0.002971,               0.002971,               0.002971
                     73,                 1.1157,                0.61414,                 1.1005,                0.62164,                0.55177,                0.58809,                0.38295,                 1.1797,                0.56696,                 1.1837,               0.002872,               0.002872,               0.002872
                     74,                 1.1129,                0.61546,                 1.1032,                0.62231,                0.54962,                0.58826,                0.38321,                 1.1797,                0.56627,                 1.1837,               0.002773,               0.002773,               0.002773
                     75,                 1.1135,                0.61376,                  1.103,                0.62488,                0.54888,                0.58759,                0.38337,                 1.1797,                0.56609,                  1.184,               0.002674,               0.002674,               0.002674
                     76,                 1.1074,                0.60968,                  1.098,                0.61603,                0.54989,                 0.5886,                0.38513,                 1.1798,                 0.5659,                 1.1841,               0.002575,               0.002575,               0.002575
                     77,                 1.1037,                0.60769,                 1.0981,                 0.6129,                0.55099,                0.58972,                0.38447,                   1.18,                0.56553,                 1.1843,               0.002476,               0.002476,               0.002476
                     78,                 1.1031,                0.60763,                 1.0959,                0.61083,                0.55095,                0.58936,                0.38471,                 1.1805,                0.56502,                 1.1845,               0.002377,               0.002377,               0.002377
                     79,                 1.1025,                0.60519,                 1.0998,                0.60907,                0.55099,                 0.5895,                0.38457,                 1.1808,                0.56479,                 1.1849,               0.002278,               0.002278,               0.002278
                     80,                 1.0991,                0.60286,                 1.0956,                0.60891,                0.55137,                0.59016,                  0.385,                 1.1813,                0.56446,                 1.1852,               0.002179,               0.002179,               0.002179
